ESTADO,UF,REGIAO,ESTADOS,POPULAÇÃO,Quantidade de Processos por Estado,POPULAÇÃO / 100K,PROCESSOS POR 100MIL HABITANTES
"Acre","AC","Região Norte","Acre",733559,1784,"7,33559","243,19788864972006"
"Alagoas","AL","Região Nordeste","Alagoas",3120494,16180,"31,20494","518,50764654570719"
"Amapa","AP","Região Norte","Amapá",669526,309,"6,69526","46,152053841075627"
"Amazonas","AM","Região Norte","Amazonas",3483985,2354,"34,83985","67,566306973193051"
"Bahia","BA","Região Nordeste","Bahia",14016906,21171,"140,16906","151,03903814436651"
"Ceara","CE","Região Nordeste","Ceará",8452381,10738,"84,52381","127,04112604483873"
"Distrito Federal","DF","Região Centro-Oeste","Distrito Federal",2570160,10182,"25,7016","396,16210663927541"
"Espirito Santo","ES","Região Sudeste","Espírito Santo",3514952,17142,"35,14952","487,6880253272306"
"Goias","GO","Região Centro-Oeste","Goiás",6003788,6973,"60,03788","116,14334150373064"
"Maranhao","MA","Região Nordeste","Maranhão",6574789,14627,"65,74789","222,47101770110038"
"Mato Grosso","MT","Região Centro-Oeste","Mato Grosso",3035122,2787,"30,35122","91,824974416184915"
"Mato Grosso do Sul","MS","Região Centro-Oeste","Mato Grosso do Sul",2449024,3833,"24,49024","156,51132859457482"
"Minas Gerais","MG","Região Sudeste","Minas Gerais",19597330,60713,"195,9733","309,80240675643063"
"Para","PA","Região Norte","Pará",7581051,6872,"75,81051","90,647061997076662"
"Paraiba","PB","Região Nordeste","Paraíba",3766528,12768,"37,66528","338,9859308094882"
"Parana","PR","Região Sul","Paraná",10444526,13241,"104,44526","126,77454199453378"
"Pernambuco","PE","Região Nordeste","Pernambuco",8796448,7192,"87,96448","81,760274147019345"
"Piaui","PI","Região Nordeste","Piauí",3118360,6951,"31,1836","222,90562988237409"
"Rio de Janeiro","RJ","Região Sudeste","Rio de Janeiro",15989929,79677,"159,89929","498,294895493282"
"Rio Grande do Norte","RN","Região Nordeste","Rio Grande do Norte",3168027,15769,"31,68027","497,75459615716659"
"Rio Grande do Sul","RS","Região Sul","Rio Grande do Sul",10693929,8833,"106,93929","82,598266736201452"
"Rondonia","RO","Região Norte","Rondônia",1562409,2592,"15,62409","165,89766187982787"
"Roraima","RR","Região Norte","Roraima",450479,98,"4,50479","21,754621192108846"
"Santa Catarina","SC","Região Sul","Santa Catarina",6248436,1125,"62,48436","18,004505447443169"
"Sao Paulo","SP","Região Sudeste","São Paulo",41262199,48279,"412,62199","117,00539760374866"
"Sergipe","SE","Região Nordeste","Sergipe",2068017,3688,"20,68017","178,33509105582789"
"Tocantins","TO","Região Norte","Tocantins",1383445,351,"13,83445","25,371445919425781"
